STD Report
1 de julho de 2026 - 5 de agosto de 2026
Dia,Campanha,Grupo de anúncios,Impr.,Cliques,CTR,Código da moeda,Custo,Conversões
2026-07-24,v4 | search_institucional | BR,brand,1.657,104,"6,28%",BRL,"50,96","1,00"
2026-07-24,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,296,31,"10,47%",BRL,"55,93","1,00"
2026-07-24,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,36,7,"19,44%",BRL,"43,70","0,00"
2026-07-24,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,7,3,"42,86%",BRL,"30,95","0,00"
2026-07-25,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,339,85,"25,07%",BRL,"205,08","0,00"
2026-07-25,v4 |✈️| search_taxiaereo | SP,taxiaereo,21,4,"19,05%",BRL,"9,09","0,00"
2026-07-25,v4 | search_institucional | BR,brand,2.217,93,"4,19%",BRL,"39,84","0,00"
2026-07-25,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,343,25,"7,29%",BRL,"46,41","1,00"
2026-07-25,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,104,8,"7,69%",BRL,"34,99","0,00"
2026-07-25,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,21,5,"23,81%",BRL,"49,11","0,00"
2026-07-26,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,361,61,"16,90%",BRL,"147,44","0,00"
2026-07-26,v4 |✈️| search_taxiaereo | SP,taxiaereo,26,3,"11,54%",BRL,"6,78","0,00"
2026-07-26,v4 | search_institucional | BR,brand,2.369,108,"4,56%",BRL,"51,54","0,00"
2026-07-26,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,229,30,"13,10%",BRL,"54,18","0,00"
2026-07-26,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,91,12,"13,19%",BRL,"30,85","0,00"
2026-07-26,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,7,3,"42,86%",BRL,"21,93","0,00"
2026-07-27,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,469,85,"18,12%",BRL,"190,25","0,00"
2026-07-27,v4 |✈️| search_taxiaereo | SP,taxiaereo,101,4,"3,96%",BRL,"4,71","0,00"
2026-07-27,v4 | search_institucional | BR,brand,1.423,77,"5,41%",BRL,"44,96","2,00"
2026-07-27,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,301,33,"10,96%",BRL,"48,51","1,00"
2026-07-27,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,65,6,"9,23%",BRL,"54,98","0,00"
2026-07-27,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,38,1,"2,63%",BRL,"13,83","0,00"
2026-07-28,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,411,73,"17,76%",BRL,"148,63","0,00"
2026-07-28,v4 |✈️| search_taxiaereo | SP,taxiaereo,135,5,"3,70%",BRL,"14,22","0,00"
2026-07-28,v4 | search_institucional | BR,brand,1.602,96,"5,99%",BRL,"47,30","1,00"
2026-07-28,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,297,35,"11,78%",BRL,"42,91","0,00"
2026-07-28,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,114,14,"12,28%",BRL,"55,32","0,00"
2026-07-28,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,52,4,"7,69%",BRL,"37,82","0,00"
2026-07-29,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,169,14,"8,28%",BRL,"41,26","0,00"
2026-07-29,v4 |✈️| search_taxiaereo | SP,taxiaereo,101,6,"5,94%",BRL,"23,57","0,00"
2026-07-29,v4 | search_institucional | BR,brand,895,66,"7,37%",BRL,"44,83","1,00"
2026-07-29,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,318,32,"10,06%",BRL,"38,63","1,00"
2026-07-29,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,94,9,"9,57%",BRL,"35,87","0,00"
2026-07-29,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,78,7,"8,97%",BRL,"87,93","0,00"
2026-07-30,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,121,13,"10,74%",BRL,"50,27","0,00"
2026-07-30,v4 |✈️| search_taxiaereo | SP,taxiaereo,104,8,"7,69%",BRL,"24,29","0,00"
2026-07-30,v4 | search_institucional | BR,brand,473,34,"7,19%",BRL,"30,36","1,00"
2026-07-30,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,321,33,"10,28%",BRL,"42,67","1,00"
2026-07-30,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,79,4,"5,06%",BRL,"10,51","0,00"
2026-07-30,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,83,6,"7,23%",BRL,"75,65","0,00"
2026-07-31,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,250,17,"6,80%",BRL,"117,44","0,00"
2026-07-31,v4 |✈️| search_taxiaereo | SP,taxiaereo,76,4,"5,26%",BRL,"11,11","0,00"
2026-07-31,v4 | search_institucional | BR,brand,528,40,"7,58%",BRL,"36,91","0,00"
2026-07-31,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,352,23,"6,53%",BRL,"43,15","2,00"
2026-07-31,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,117,4,"3,42%",BRL,"23,58","0,00"
2026-07-31,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,38,1,"2,63%",BRL,"34,15","0,00"
2026-08-01,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,197,14,"7,11%",BRL,"114,05","0,00"
2026-08-01,v4 |✈️| search_taxiaereo | SP,taxiaereo,55,5,"9,09%",BRL,"22,70","1,00"
2026-08-01,v4 | search_institucional | BR,brand,542,44,"8,12%",BRL,"60,77","0,00"
2026-08-01,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,333,31,"9,31%",BRL,"56,68","1,00"
2026-08-01,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,21,2,"9,52%",BRL,"58,76","0,00"
2026-08-01,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,45,4,"8,89%",BRL,"20,09","0,00"
2026-08-02,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,136,9,"6,62%",BRL,"58,29","0,00"
2026-08-02,v4 |✈️| search_taxiaereo | SP,taxiaereo,101,9,"8,91%",BRL,"19,70","1,00"
2026-08-02,v4 | search_institucional | BR,brand,700,50,"7,14%",BRL,"58,16","3,00"
2026-08-02,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,381,34,"8,92%",BRL,"53,17","0,00"
2026-08-02,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,49,9,"18,37%",BRL,"42,25","0,00"
2026-08-02,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,75,4,"5,33%",BRL,"37,11","0,00"
2026-08-03,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,414,47,"11,35%",BRL,"380,36","2,00"
2026-08-03,v4 |✈️| search_taxiaereo | SP,taxiaereo,97,11,"11,34%",BRL,"23,11","1,00"
