STD Report
1 de fevereiro de 2026 - 21 de julho de 2026
Dia,Campanha,Grupo de anúncios,Impr.,Cliques,CTR,Código da moeda,Custo,Conversões
2026-06-22,v4 |✈️| search_taxiaereo | SP,taxiaereo,36,5,"13,89%",BRL,"14,28","1,00"
2026-06-22,v4 | search_institucional | BR,brand,373,36,"9,65%",BRL,"93,36","0,00"
2026-06-22,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,891,41,"4,60%",BRL,"88,85","2,00"
2026-06-22,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,95,14,"14,74%",BRL,"55,88","0,00"
2026-06-22,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,35,3,"8,57%",BRL,"16,22","0,00"
2026-06-23,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,402,120,"29,85%",BRL,"202,70","0,00"
2026-06-23,v4 |✈️| search_taxiaereo | SP,taxiaereo,15,2,"13,33%",BRL,"8,89","0,00"
2026-06-23,v4 | search_institucional | BR,brand,405,26,"6,42%",BRL,"70,74","0,00"
2026-06-23,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,510,42,"8,24%",BRL,"92,97","0,00"
2026-06-23,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,112,8,"7,14%",BRL,"34,35","0,00"
2026-06-23,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,22,4,"18,18%",BRL,"12,18","0,00"
2026-06-24,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,205,50,"24,39%",BRL,"117,87","0,00"
2026-06-24,v4 |✈️| search_taxiaereo | SP,taxiaereo,55,2,"3,64%",BRL,"6,16","0,00"
2026-06-24,v4 | search_institucional | BR,brand,311,29,"9,32%",BRL,"75,49","2,00"
2026-06-24,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,422,40,"9,48%",BRL,"88,73","2,00"
2026-06-24,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,60,11,"18,33%",BRL,"34,10","0,00"
2026-06-24,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,27,2,"7,41%",BRL,"9,43","0,00"
2026-06-25,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,282,60,"21,28%",BRL,"117,17","0,00"
2026-06-25,v4 |✈️| search_taxiaereo | SP,taxiaereo,75,3,"4,00%",BRL,"5,19","0,00"
2026-06-25,v4 | search_institucional | BR,brand,345,26,"7,54%",BRL,"67,05","2,00"
2026-06-25,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,458,28,"6,11%",BRL,"59,78","0,00"
2026-06-25,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,83,10,"12,05%",BRL,"31,29","0,00"
2026-06-25,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,11,1,"9,09%",BRL,"4,94","0,00"
2026-06-26,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,238,30,"12,61%",BRL,"54,98","0,00"
2026-06-26,v4 |✈️| search_taxiaereo | SP,taxiaereo,58,4,"6,90%",BRL,"19,55","0,00"
2026-06-26,v4 | search_institucional | BR,brand,454,49,"10,79%",BRL,"150,72","2,00"
2026-06-26,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,496,40,"8,06%",BRL,"103,53","0,00"
2026-06-26,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,71,5,"7,04%",BRL,"13,33","0,00"
2026-06-26,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,22,0,"0,00%",BRL,"0,00","0,00"
2026-06-27,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,256,38,"14,84%",BRL,"71,51","0,00"
2026-06-27,v4 |✈️| search_taxiaereo | SP,taxiaereo,105,2,"1,90%",BRL,"6,90","0,00"
2026-06-27,v4 | search_institucional | BR,brand,244,24,"9,84%",BRL,"81,96","1,00"
2026-06-27,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,591,45,"7,61%",BRL,"121,20","1,00"
2026-06-27,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,52,4,"7,69%",BRL,"14,10","1,00"
2026-06-27,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,49,3,"6,12%",BRL,"9,54","0,00"
2026-06-28,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,340,56,"16,47%",BRL,"114,89","0,00"
2026-06-28,v4 |✈️| search_taxiaereo | SP,taxiaereo,97,3,"3,09%",BRL,"11,34","1,00"
2026-06-28,v4 | search_institucional | BR,brand,377,21,"5,57%",BRL,"33,85","0,00"
2026-06-28,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,603,37,"6,14%",BRL,"91,43","0,00"
2026-06-28,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,68,6,"8,82%",BRL,"23,76","0,00"
2026-06-28,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,20,1,"5,00%",BRL,"9,77","0,00"
2026-06-29,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,308,44,"14,29%",BRL,"109,07","1,00"
2026-06-29,v4 |✈️| search_taxiaereo | SP,taxiaereo,12,2,"16,67%",BRL,"9,69","0,00"
2026-06-29,v4 | search_institucional | BR,brand,456,37,"8,11%",BRL,"93,17","3,00"
2026-06-29,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,430,35,"8,14%",BRL,"88,62","0,00"
2026-06-29,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,64,5,"7,81%",BRL,"19,97","0,00"
2026-06-29,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,27,2,"7,41%",BRL,"13,18","0,00"
