Performance por Canal de venda - 01/03/2026 até 31/07/2026,,,,
Dia,Local de Vendas,Quantidade de Vendas,Valor,Porcentagem de Vendas
21/05/2026,MERCADO LIVRE,2,"1.081,27","33,33"
22/05/2026,MERCADO LIVRE,5,"1.418,27",50
22/05/2026,PARTICULAR,4,"7.912,40",40
22/05/2026,LOJA VIRTUAL,1,"156,54",10
23/05/2026,MAGAZINE LUIZA,1,"21,48",50
23/05/2026,MERCADO LIVRE,1,"221,67",50
24/05/2026,LOJA VIRTUAL,2,"2.416,16",100
25/05/2026,PARTICULAR,7,"13.321,28","63,64"
25/05/2026,LOJA VIRTUAL,3,"997,16","27,27"
25/05/2026,MERCADO LIVRE,1,"657,00","9,09"
26/05/2026,PARTICULAR,4,"6.607,90","66,67"
26/05/2026,MERCADO LIVRE,2,"402,59","33,33"
27/05/2026,MERCADO LIVRE,7,"9.547,57",50
27/05/2026,PARTICULAR,7,"8.768,93",50
28/05/2026,MERCADO LIVRE,3,"297,47","37,5"
28/05/2026,PARTICULAR,3,"2.533,46","37,5"
28/05/2026,LOJA VIRTUAL,2,"1.831,61",25
29/05/2026,PARTICULAR,4,"20.750,78",100
31/05/2026,MERCADO LIVRE,1,"34,30",100
01/06/2026,PARTICULAR,4,"3.445,04",100
02/06/2026,MERCADO LIVRE,2,"937,56",40
02/06/2026,PARTICULAR,2,"4.793,35",40
02/06/2026,MAGAZINE LUIZA,1,"1.829,43",20
03/06/2026,LOJA VIRTUAL,2,"1.122,13",40
03/06/2026,PARTICULAR,2,"154.263,47",40
03/06/2026,MERCADO LIVRE,1,"223,85",20
04/06/2026,MERCADO LIVRE,4,"2.032,40",100
05/06/2026,PARTICULAR,3,"2.093,60",100
08/06/2026,PARTICULAR,3,"4.385,43","42,86"
08/06/2026,MERCADO LIVRE,2,"413,07","28,57"
08/06/2026,LOJA VIRTUAL,1,"681,17","14,29"
08/06/2026,MAGAZINE LUIZA,1,"1.460,59","14,29"
09/06/2026,PARTICULAR,6,"7.046,47",60
09/06/2026,MERCADO LIVRE,4,"2.804,14",40
10/06/2026,PARTICULAR,6,"28.201,70",75
10/06/2026,MERCADO LIVRE,2,"267,98",25
11/06/2026,MERCADO LIVRE,6,"3.008,56",50
11/06/2026,PARTICULAR,6,"133.955,19",50
12/06/2026,PARTICULAR,5,"2.439,18",100
14/06/2026,MERCADO LIVRE,1,"142,00",100
15/06/2026,MERCADO LIVRE,2,"230,68",40
15/06/2026,PARTICULAR,2,"1.353,05",40
15/06/2026,LOJA VIRTUAL,1,"371,62",20
16/06/2026,LOJA VIRTUAL,3,"1.400,36","42,86"
16/06/2026,PARTICULAR,3,"2.802,40","42,86"
16/06/2026,MERCADO LIVRE,1,"156,11","14,29"
17/06/2026,MERCADO LIVRE,1,"227,32",50
17/06/2026,PARTICULAR,1,"357,88",50
18/06/2026,MERCADO LIVRE,3,"1.854,19",50
18/06/2026,PARTICULAR,3,"2.050,64",50
19/06/2026,PARTICULAR,2,"28.627,50",50
19/06/2026,LOJA VIRTUAL,1,"205,05",25
19/06/2026,MERCADO LIVRE,1,"156,11",25
20/06/2026,MERCADO LIVRE,3,"805,86",100
22/06/2026,PARTICULAR,4,"29.317,08",50
22/06/2026,LOJA VIRTUAL,3,"1.063,08","37,5"
22/06/2026,MERCADO LIVRE,1,"165,03","12,5"
23/06/2026,PARTICULAR,4,"2.038,44","66,67"
23/06/2026,LOJA VIRTUAL,1,"85,55","16,67"
23/06/2026,MERCADO LIVRE,1,"1.157,19","16,67"
24/06/2026,PARTICULAR,6,"6.831,94","85,71"
24/06/2026,MERCADO LIVRE,1,"148,45","14,29"
25/06/2026,PARTICULAR,4,"1.881,98","66,67"
25/06/2026,LOJA VIRTUAL,2,"587,30","33,33"
26/06/2026,PARTICULAR,4,"8.825,71",50
26/06/2026,LOJA VIRTUAL,3,"1.946,58","37,5"
26/06/2026,MERCADO LIVRE,1,"128,17","12,5"
27/06/2026,MERCADO LIVRE,3,"690,80",100
29/06/2026,PARTICULAR,4,"3.980,64","57,14"
29/06/2026,LOJA VIRTUAL,1,"1.841,40","14,29"
29/06/2026,MAGAZINE LUIZA,1,"185,56","14,29"
29/06/2026,MERCADO LIVRE,1,"901,82","14,29"
30/06/2026,MERCADO LIVRE,3,"2.751,88",50
30/06/2026,PARTICULAR,3,"4.050,55",50
01/07/2026,MERCADO LIVRE,5,"2.716,09","71,43"
01/07/2026,PARTICULAR,2,"3.965,72","28,57"
02/07/2026,MERCADO LIVRE,5,"3.925,00",50
02/07/2026,PARTICULAR,3,"17.663,92",30
02/07/2026,LOJA VIRTUAL,2,"4.797,75",20
03/07/2026,MERCADO LIVRE,3,"2.511,60","42,86"
03/07/2026,PARTICULAR,3,"2.009,88","42,86"
03/07/2026,MAGAZINE LUIZA,1,"42,96","14,29"
04/07/2026,LOJA VIRTUAL,1,"3.033,47",100
06/07/2026,MERCADO LIVRE,2,"391,06",50
06/07/2026,PARTICULAR,2,"36.685,00",50
07/07/2026,MERCADO LIVRE,5,"1.806,55","45,45"
07/07/2026,PARTICULAR,5,"5.604,55","45,45"
07/07/2026,LOJA VIRTUAL,1,"101,41","9,09"
08/07/2026,PARTICULAR,4,"6.961,17","44,44"
08/07/2026,MERCADO LIVRE,3,"2.981,12","33,33"
08/07/2026,LOJA VIRTUAL,2,"2.990,30","22,22"
09/07/2026,MERCADO LIVRE,2,"1.109,76","66,67"
09/07/2026,MAGAZINE LUIZA,1,"283,65","33,33"
10/07/2026,PARTICULAR,7,"27.743,49","87,5"
10/07/2026,MERCADO LIVRE,1,"87,41","12,5"
11/07/2026,MERCADO LIVRE,1,"1.155,35",100
13/07/2026,MERCADO LIVRE,5,"5.208,11","45,45"
13/07/2026,PARTICULAR,5,"13.687,41","45,45"
13/07/2026,LOJA VIRTUAL,1,"3.726,52","9,09"
14/07/2026,PARTICULAR,3,"5.125,66",60
14/07/2026,LOJA VIRTUAL,2,"400,40",40
15/07/2026,MERCADO LIVRE,4,"3.188,19","57,14"
15/07/2026,PARTICULAR,3,"10.381,90","42,86"
16/07/2026,PARTICULAR,6,"4.323,49","66,67"
16/07/2026,MERCADO LIVRE,2,"354,74","22,22"
16/07/2026,MAGAZINE LUIZA,1,"25,38","11,11"
17/07/2026,MERCADO LIVRE,2,"464,28",50
17/07/2026,LOJA VIRTUAL,1,"745,30",25
17/07/2026,PARTICULAR,1,"2.450,00",25
18/07/2026,MERCADO LIVRE,1,"40,92",100
19/07/2026,MERCADO LIVRE,1,"1.488,16",100
20/07/2026,PARTICULAR,4,"38.763,28",50
20/07/2026,LOJA VIRTUAL,2,"1.866,55",25
20/07/2026,MERCADO LIVRE,2,"107,40",25
21/07/2026,PARTICULAR,5,"11.824,69","71,43"
21/07/2026,LOJA VIRTUAL,1,"75,53","14,29"
21/07/2026,MERCADO LIVRE,1,"227,32","14,29"
22/07/2026,PARTICULAR,6,"26.543,44",60
22/07/2026,MERCADO LIVRE,2,"3.554,21",20
22/07/2026,LOJA VIRTUAL,1,"406,49",10
22/07/2026,MAGAZINE LUIZA,1,"80,07",10
23/07/2026,MERCADO LIVRE,4,"2.833,91","57,14"
23/07/2026,LOJA VIRTUAL,1,"214,99","14,29"
23/07/2026,MAGAZINE LUIZA,1,"172,57","14,29"
23/07/2026,PARTICULAR,1,"280,00","14,29"
24/07/2026,PARTICULAR,4,"30.290,76","57,14"
24/07/2026,LOJA VIRTUAL,2,"1.256,81","28,57"
24/07/2026,MERCADO LIVRE,1,"227,32","14,29"
25/07/2026,MERCADO LIVRE,1,"199,47",100
26/07/2026,MERCADO LIVRE,1,"162,75",100
27/07/2026,MERCADO LIVRE,3,"4.105,44","42,86"
27/07/2026,PARTICULAR,3,"49.750,00","42,86"
27/07/2026,LOJA VIRTUAL,1,"443,98","14,29"
28/07/2026,PARTICULAR,4,"13.656,37","66,67"
28/07/2026,LOJA VIRTUAL,1,"179,44","16,67"
28/07/2026,MERCADO LIVRE,1,"4.952,99","16,67"
29/07/2026,PARTICULAR,1,"1178,85",100
