Código,Nome do Produto,Referência,Preço,Quantidade,Variação 1,Variação 2
926,AMORTECEDOR TAMPA FRONTAL 29CM MÁQUINAS CORTE LASER NACIONAL,ML-29C,"290,00",2,,
928,AMORTECEDOR TAMPA FRONTAL 35CM MÁQUINAS CORTE LASER NACIONAL,ML-35C,"407,32",2,,
943,LENTE AMERICANA (II-VI) DF 100.1 20MM,,"10,00",1,,
947,COLUNA ELEVATÓRIA DE LASER,7890001002805,"2.250,00",1,,
953,GERADOR DE FIBRA LASER RAYCUS (FONTE FIBER LASER) 50QB,7899765432200,"17.500,00",1,,
993,LENTE DE PROTEÇÃO INFERIOR JGS1 37x7 mm,7899765432148,"447,00",3,,
1005,TUBO LASER CO2 MARCA PURI 40W 7500 HORAS,,"1.150,00",1,,
1025,PAINEL DE COMANDO TOPWISDOM A4 MULTI-EIXOS E ALTA VELOCIDADE,7890001004045,"2.787,00",3,,
1027,SENSOR FLUXO DE ÁGUA - 4 FIOS - ORIGINAL SA,7890001003604,"410,00",1,,
1035,PAINEL DE CONTROLE DE TEMPERATURA DO CHILLER RY1005,RY1005,"368,90",1,,
1037,SENSOR DE TEMPERATURA INTERNA CHILLER,7890001003581,"132,56",1,,
1041,BICO DE CORTE 24MM PARA LENTES DE 20MM,ML-BI-24MM,"295,00",1,,
1045,LENTE DE COMBINAÇÃO PARA FIBER 1064NM 20MM,7899765432172,"450,00",1,,
1047,LENTES AMERICANAS (II-VI) 25MM,7899765432157,"900,00",1,"50,8",
1053,PURIFICADOR PARA MÁQUINA GALVANOMÉTRICA 100W,7890001003383,"4.350,00",1,,
1065,ROLAMENTO DO BLOCO DE MOVIMENTO,7890001003468,"608,00",16,,
1071,CHILLER JL-5202 PARA MAQUINA DE CORTE A LASER,JL5202,"8.500,00",1,,
1089,LENTE PARA MÁQUINAS UV,7899765432153,"2.552,00",1,110X110,
1091,MÁQUINA DE CORTE 7050 - COM MESA MÓVEL - CHILLER,7899765432123,"22.000,00",1,80W,
1093,DRIVE LEADSHINE DM542,,"639,00",1,,
1103,BOTÃO LIGA/ DESLIGA PARA MÁQUINAS DE CORTE A LASER - VERDE,ML-02,"112,95",3,,
1105,PLUG CONECTOR PARA CHILLER - 3 PINOS,7890001003772,"40,92",1,,
1135,BLOCO DE MOVIMENTO COMPLETO POLIA 24 DENTES 3M EIXO ALONGADO,23-3,"280,00",1,,
1141,"CORREIA DA POLIA DO MOTOR X,Y 351-S3M - 10MM",7899765432262,"162,00",3,,
1143,"CORREIA DA POLIA DO MOTOR X,Y 264-3M - 15MM",7899765432267,"127,42",2,,
1151,Conector do sensor laser BT240- Raytools,BT240S,"2.219,10",1,,
1155,Conector do sensor laser F150- Raytools,F150,"1.950,00",1,,
1157,Conector do sensor laser BM110 NEW - Raytools,BM110 NEW,"1.560,05",1,,
1165,Conector do sensor laser BM110 OLD - Raytools,BM110 OLD,"3.130,00",2,,
1177,Kit Bico Solda Laser Original Raytools Cabeçote BW101-GS 13,7899765432207,"1.252,00",1,,
1187,Lente Colimadora D28 F100 Raytools Bm109 Com Barril,7900003645068,"1.950,00",1,,
1201,LENTE FOCO SUPORTE LENTE CABEÇA CORTE LASER D30 - F150-BM110,7899765432180,"1.935,00",1,,
1233,LENTE COLIMAÇÃO (CABEÇOTE FIBER RAYTOOLS) D30-F100,7899765432211,"1.250,00",1,,
1249,LENTE DE FOCO PARA RAYTOOLS CABEÇOTE FIBER RAYTOOLS D28-F150,7899765432187,"1.600,00",1,,
1266,Cabo Usb X Usb (tipo A) 3 Mts Com Ferrite,USB A-A,"330,00",15,,
1284,Sensor De Altura Cabeca Precitec Procutter 2.0,7890001003512,"10.307,04",1,,
1288,Janela de proteção inferior D30 T5 Thunder 12kW PRECITEC,7899765432202,"1.680,00",5,,
1294,ADAPTADOR DE LENTE FIBER LASER M68 PARA M85,M68 M85,"300,00",1,,
1302,Máquina de Gravação a Laser com Câmera automática - CCD UV,7890001004182,"98.000,00",1,,
1310,Raytools Cerâmica Laser D19.5 M8,7890001003390,"178,00",2,,
1330,DIODO LASER CO2 YONGLI MIRA LASER EXCLUSIVO PARA TUBO YONGLI,7899765432274,"1.135,00",1,,
1368,MÁQUINA FIBER LASER PORTÁTIL VACINA ANTI FURTO 50W C BATERIA,7890001004250,"43.000,00",1,,
1386,Bateria Extra - Máquina Laser Vacina Anti furto,,"4.000,00",1,,
1398,Placa de controle de laser de CO2 Trocen Awc7813,,"2.850,00",1,,
1408,Fonte ZYE - 100w,,"1.799,99",1,,
1416,PAINEL CONTROLADORA RUIDA RDC-6585G,,"1.845,12",1,,
1420,Máquina de corte a Laser 1310 BestBeam - 1 Cabeça,130W C/C,"46.000,00",1,130W,COM CÂMERA
1426,Máquina de corte a Laser BB-1080 - 100W,1080 S/C,"36.375,00",1,SEM CÂMERA,
