Performance por Canal de venda - 01/03/2026 até 31/07/2026,,,,
Dia,Local de Pedidos,Quantidade de Pedidos,Valor,Porcentagem de Pedidos
03/07/2026,MAGAZINE LUIZA,1,"42,96","14,29"
04/07/2026,LOJA VIRTUAL,1,"3.033,47",100
05/07/2026,MAGAZINE LUIZA,1,"281,06",100
06/07/2026,MERCADO LIVRE,2,"391,06",50
06/07/2026,PARTICULAR,2,"36.685,00",50
07/07/2026,MERCADO LIVRE,5,"1.806,55","45,45"
07/07/2026,PARTICULAR,5,"5.603,13","45,45"
07/07/2026,LOJA VIRTUAL,1,"101,41","9,09"
08/07/2026,PARTICULAR,5,"7.561,86","45,45"
08/07/2026,MERCADO LIVRE,3,"2.981,12","27,27"
08/07/2026,LOJA VIRTUAL,2,"2.992,30","18,18"
08/07/2026,MAGAZINE LUIZA,1,"163,27","9,09"
09/07/2026,MERCADO LIVRE,2,"1.109,76",50
09/07/2026,LOJA VIRTUAL,1,"1.427,50",25
09/07/2026,MAGAZINE LUIZA,1,"283,65",25
10/07/2026,PARTICULAR,7,"27.790,67","87,5"
10/07/2026,MERCADO LIVRE,1,"87,41","12,5"
11/07/2026,MERCADO LIVRE,1,"1.155,35",100
13/07/2026,MERCADO LIVRE,5,"5.208,11","45,45"
13/07/2026,PARTICULAR,5,"13.687,41","45,45"
13/07/2026,LOJA VIRTUAL,1,"3.726,52","9,09"
14/07/2026,PARTICULAR,4,"6.400,66","57,14"
14/07/2026,LOJA VIRTUAL,3,"437,97","42,86"
15/07/2026,MERCADO LIVRE,4,"3.188,19","57,14"
15/07/2026,PARTICULAR,3,"10.731,90","42,86"
16/07/2026,PARTICULAR,6,"4.339,09","66,67"
16/07/2026,MERCADO LIVRE,2,"354,74","22,22"
16/07/2026,MAGAZINE LUIZA,1,"25,38","11,11"
17/07/2026,MERCADO LIVRE,2,"464,28",50
17/07/2026,LOJA VIRTUAL,1,"745,30",25
17/07/2026,PARTICULAR,1,"2.450,00",25
18/07/2026,MERCADO LIVRE,1,"40,92",100
19/07/2026,MERCADO LIVRE,1,"1.488,16",100
20/07/2026,PARTICULAR,4,"38.934,78",50
20/07/2026,LOJA VIRTUAL,2,"1.866,55",25
20/07/2026,MERCADO LIVRE,2,"107,40",25
21/07/2026,PARTICULAR,5,"11.837,06","71,43"
21/07/2026,LOJA VIRTUAL,1,"75,53","14,29"
21/07/2026,MERCADO LIVRE,1,"227,32","14,29"
22/07/2026,PARTICULAR,6,"26.596,66",60
22/07/2026,MERCADO LIVRE,2,"3.554,21",20
22/07/2026,LOJA VIRTUAL,1,"406,49",10
22/07/2026,MAGAZINE LUIZA,1,"80,07",10
23/07/2026,MERCADO LIVRE,4,"2.833,91",50
23/07/2026,PARTICULAR,2,"17.780,00",25
23/07/2026,LOJA VIRTUAL,1,"214,99","12,5"
23/07/2026,MAGAZINE LUIZA,1,"172,57","12,5"
24/07/2026,PARTICULAR,4,"30.410,76","57,14"
24/07/2026,LOJA VIRTUAL,2,"1.256,81","28,57"
24/07/2026,MERCADO LIVRE,1,"227,32","14,29"
25/07/2026,MERCADO LIVRE,1,"199,47",100
26/07/2026,MERCADO LIVRE,1,"162,75",100
27/07/2026,MERCADO LIVRE,3,"4.105,44","37,5"
27/07/2026,PARTICULAR,3,"49.750,00","37,5"
27/07/2026,LOJA VIRTUAL,2,"32.489,03",25
28/07/2026,PARTICULAR,4,"13.721,47","66,67"
28/07/2026,LOJA VIRTUAL,1,"179,44","16,67"
28/07/2026,MERCADO LIVRE,1,"4.952,99","16,67"
29/07/2026,PARTICULAR,2,"1334,78",100
