Dia,"Nome da campanha","Nome do conjunto de anúncios","Nome do anúncio","Nome da Página","Status de veiculação","Nível de veiculação",Alcance,Impressões,Frequência,"Configuração de atribuição","Tipo de resultado",Resultados,"Valor usado (BRL)","Custo por resultado",Início,Término,"Cliques no link","CPM (custo por 1.000 impressões)","Início dos relatórios","Encerramento dos relatórios"
2026-03-09,"PM | ABO | ENGAJ | 9 LINKS | 05.03","A3 - SEMELHANTE",C,"Casa & Cia Centro",not_delivering,ad,102,113,1.10784314,"Clique de 7 dias ou visualização de 1 dia",,,4.01,,2026-03-05,Contínuo,2,35.48672566,2026-03-09,2026-03-09
2026-03-09,"DC - FEVEREIRO/2026 / CBO F2 ABERTO",VV,P2,"Casa & Cia Centro",not_delivering,ad,20,23,1.15,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0.47,,2026-03-07,Contínuo,,20.43478261,2026-03-09,2026-03-09
2026-03-09,"DC - FEVEREIRO/2026 / ABO  - F2",SEGUIDORES,P2,"Casa & Cia Centro",inactive,ad,36,39,1.08333333,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0.36,,2026-03-07,2026-03-14,,9.23076923,2026-03-09,2026-03-09
2026-03-09,"DC - FEVEREIRO/2026 / CBO F2",ENGAJAMENTO,P1,"Casa & Cia Centro",inactive,ad,9,11,1.22222222,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0.49,,2026-03-07,Contínuo,1,44.54545455,2026-03-09,2026-03-09
2026-03-09,"DC - FEVEREIRO/2026 / CBO F2 ABERTO",VV,P1,"Casa & Cia Centro",not_delivering,ad,13,13,1,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0.15,,2026-03-07,Contínuo,,11.53846154,2026-03-09,2026-03-09
2026-03-08,"DC - FEVEREIRO/2026 / ABO  - F2",ENGAJAMENTO,P2,"Casa & Cia Centro",not_delivering,ad,51,62,1.21568627,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0.62,,2026-03-07,2026-03-14,,10,2026-03-08,2026-03-08
2026-03-08,"VISITAS AO PERFIL - 06/03 - HA - 25,00 - FASE 1",ABERTO,A1,"Casa & Cia Centro",not_delivering,ad,3664,3968,1.08296943,"Clique de 1 dia","Visitas ao perfil do Instagram",34,12.28,0.36117647,2026-03-06,Contínuo,34,3.09475806,2026-03-08,2026-03-08
2026-03-08,"DC - FEVEREIRO/2026 / CBO F2",VV,P1,"Casa & Cia Centro",inactive,ad,82,89,1.08536585,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,1.48,,2026-03-07,Contínuo,1,16.62921348,2026-03-08,2026-03-08
2026-03-08,"DC - FEVEREIRO/2026 / ABO  - F2",VISITAS,P2,"Casa & Cia Centro",not_delivering,ad,1341,2377,1.77255779,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia","Leads no site",12,35.88,2.99,2026-03-07,2026-03-14,26,15.09465713,2026-03-08,2026-03-08
2026-03-08,"DC - FEVEREIRO/2026 / CBO F2",ENGAJAMENTO,VIDEO,"Casa & Cia Centro",not_delivering,ad,785,1111,1.41528662,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia","Leads no site",16,18.94,1.18375,2026-03-07,Contínuo,44,17.04770477,2026-03-08,2026-03-08
2026-03-08,"DC - FEVEREIRO/2026 / CBO F2 ABERTO",VV,VIDEO,"Casa & Cia Centro",not_delivering,ad,233,340,1.45922747,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia","Leads no site",16,27.77,1.735625,2026-03-07,Contínuo,132,81.67647059,2026-03-08,2026-03-08
2026-03-08,"DC - FEVEREIRO/2026 / CBO F2",SEGUIDORES,P2,"Casa & Cia Centro",not_delivering,ad,31,31,1,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia","Leads no site",2,0.28,0.14,2026-03-07,Contínuo,1,9.03225806,2026-03-08,2026-03-08
2026-03-08,"DC - FEVEREIRO/2026 / CBO F2 ABERTO",SEGUIDORES,P1,"Casa & Cia Centro",not_delivering,ad,1,1,1,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0,,2026-03-07,Contínuo,,0,2026-03-08,2026-03-08
2026-03-08,"HA | ABO | ENGAJ | 9 LINKS | 06.03 - FASE 2 - 50,00 — Número 21011","A1 - INTERESSE",C,"Casa & Cia Centro",not_delivering,ad,344,383,1.11337209,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",1,11.77,11.77,2026-03-06,Contínuo,4,30.7310705,2026-03-08,2026-03-08
2026-03-08,"DC - FEVEREIRO/2026 / ABO  - F2",SEGUIDORES,P1,"Casa & Cia Centro",not_delivering,ad,66,79,1.1969697,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,1.06,,2026-03-07,2026-03-14,1,13.41772152,2026-03-08,2026-03-08
2026-03-08,"HA | ABO | ENGAJ | 9 LINKS | 06.03 - FASE 2 - 50,00 — Número 21011","A9 - INTERESSE SÓ VIAJANTES E DISNEY",C,"Casa & Cia Centro",not_delivering,ad,402,459,1.14179104,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",1,12.8,12.8,2026-03-06,Contínuo,6,27.88671024,2026-03-08,2026-03-08
2026-03-08,"HA | ABO | ENGAJ | 9 LINKS | 06.03 - FASE 2 - 50,00","A9 - INTERESSE SÓ VIAJANTES E DISNEY",C,"Casa & Cia Centro",not_delivering,ad,322,361,1.12111801,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",1,17.22,17.22,2026-03-06,Contínuo,7,47.70083102,2026-03-08,2026-03-08
2026-03-08,"DC - FEVEREIRO/2026 / ABO  - F2",VV,VIDEO,"Casa & Cia Centro",not_delivering,ad,1388,2298,1.6556196,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia","Leads no site",24,39.19,1.63291667,2026-03-07,2026-03-14,279,17.05395997,2026-03-08,2026-03-08
2026-03-08,"DC - FEVEREIRO/2026 / ABO  - F2",VV,P1,"Casa & Cia Centro",inactive,ad,104,109,1.04807692,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia","Leads no site",2,1.48,0.74,2026-03-07,2026-03-14,1,13.57798165,2026-03-08,2026-03-08
2026-03-08,"DC - FEVEREIRO/2026 / ABO  - F2",VISITAS,P1,"Casa & Cia Centro",inactive,ad,537,1007,1.87523277,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia","Leads no site",5,15.07,3.014,2026-03-07,2026-03-14,11,14.9652433,2026-03-08,2026-03-08
2026-03-08,"DC - FEVEREIRO/2026 / CBO F2 ABERTO",ENGAJAMENTO,VIDEO,"Casa & Cia Centro",not_delivering,ad,215,248,1.15348837,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia","Leads no site",24,15.97,0.66541667,2026-03-07,Contínuo,51,64.39516129,2026-03-08,2026-03-08
2026-03-08,"DC - FEVEREIRO/2026 / ABO  - F2",ENGAJAMENTO,VIDEO,"Casa & Cia Centro",not_delivering,ad,1682,2715,1.61414982,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia","Leads no site",60,51.14,0.85233333,2026-03-07,2026-03-14,106,18.83609576,2026-03-08,2026-03-08
2026-03-08,"DC - FEVEREIRO/2026 / CBO F2",SEGUIDORES,VIDEO,"Casa & Cia Centro",not_delivering,ad,418,528,1.26315789,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia","Leads no site",12,10.36,0.86333333,2026-03-07,Contínuo,19,19.62121212,2026-03-08,2026-03-08
2026-03-08,"VISITAS AO PERFIL - 06/03 - HA - 25,00 - FASE 1",ABERTO,A3,"Casa & Cia Centro",not_delivering,ad,1686,1797,1.0658363,"Clique de 1 dia","Visitas ao perfil do Instagram",27,17.72,0.6562963,2026-03-06,Contínuo,24,9.86087924,2026-03-08,2026-03-08
2026-03-08,"DC - FEVEREIRO/2026 / CBO F2",VV,P2,"Casa & Cia Centro",inactive,ad,7,7,1,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0.14,,2026-03-07,Contínuo,,20,2026-03-08,2026-03-08
2026-03-08,"DC - FEVEREIRO/2026 / ABO  - F2",VV,P2,"Casa & Cia Centro",not_delivering,ad,451,504,1.11751663,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia","Leads no site",2,4.33,2.165,2026-03-07,2026-03-14,12,8.59126984,2026-03-08,2026-03-08
2026-03-08,"DC - FEVEREIRO/2026 / CBO F2",VV,VIDEO,"Casa & Cia Centro",not_delivering,ad,998,1293,1.29559118,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia","Leads no site",12,18.32,1.52666667,2026-03-07,Contínuo,63,14.16860015,2026-03-08,2026-03-08
2026-03-08,"DC - FEVEREIRO/2026 / ABO  - F2",ENGAJAMENTO,P1,"Casa & Cia Centro",inactive,ad,25,35,1.4,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia","Leads no site",2,0.48,0.24,2026-03-07,2026-03-14,1,13.71428571,2026-03-08,2026-03-08
