Públicos-alvo
1 de janeiro de 2026 - 6 de julho de 2026
Segmento de público-alvo,Estado do segmento de público-alvo,Campanha,Grupo de anúncios,Código da moeda,CPC máx. padrão do grupo de anúncios,CPC máximo do segmento de público-alvo,Aj. lance do segmento de público-alvo,Configuração de segmentação,Cliques,Impr.,CTR,CPC méd.,Custo,CPM médio
Veículos e transporte › Entusiastas de automóveis › Entusiastas de veículos de luxo e de alto desempenho,Ativado,[C] Aspirador,Ad group #9,BRL,"0,30",0, +0%,Observação,0,0,0,0,"0,00",0
Tecnologia › Tecnófilos › Entusiastas de automação residencial,Ativado,[C] Aspirador,Ad group #9,BRL,"0,30",0, --,Observação,0,0,0,0,"0,00",0
Tecnologia › Tecnófilos › Aficionados por computadores de alta tecnologia,Ativado,[C] Aspirador,Ad group #9,BRL,"0,30",0, --,Observação,0,0,0,0,"0,00",0
Casa e jardim › Aparelhos domésticos › Climatização e qualidade do ar,Ativado,[C] Aspirador,Ad group #9,BRL,"0,30",0, --,Observação,0,0,0,0,"0,00",0
Casa e jardim › Suprimentos domésticos › Materiais de limpeza doméstica,Ativado,[C] Aspirador,Ad group #9,BRL,"0,30",0, +0%,Observação,0,0,0,0,"0,00",0
Visitantes,Ativado,[C] Aspirador,Ad group #9,BRL,"0,30",0, --,Observação,0,0,0,0,"0,00",0
Casa e jardim › Aparelhos domésticos › Aspiradores de pó,Ativado,[C] Aspirador,Aspirador de pó e água,BRL,"0,30",0, --,Observação,0,0,0,0,"0,00",0
Veículos e transporte › Entusiastas de automóveis › Entusiastas de veículos de luxo e de alto desempenho,Ativado,[C] Aspirador,Aspirador de pó e água,BRL,"0,30",0, +0%,Observação,0,0,0,0,"0,00",0
Tecnologia › Tecnófilos › Entusiastas de automação residencial,Ativado,[C] Aspirador,Aspirador de pó e água,BRL,"0,30",0, --,Observação,0,0,0,0,"0,00",0
Tecnologia › Tecnófilos › Aficionados por computadores de alta tecnologia,Ativado,[C] Aspirador,Aspirador de pó e água,BRL,"0,30",0, --,Observação,0,0,0,0,"0,00",0
Casa e jardim › Aparelhos domésticos › Climatização e qualidade do ar,Ativado,[C] Aspirador,Aspirador de pó e água,BRL,"0,30",0, --,Observação,0,0,0,0,"0,00",0
Casa e jardim › Suprimentos domésticos › Materiais de limpeza doméstica,Ativado,[C] Aspirador,Aspirador de pó e água,BRL,"0,30",0, +0%,Observação,0,0,0,0,"0,00",0
Visitantes,Ativado,[C] Aspirador,Aspirador de pó e água,BRL,"0,30",0, --,Observação,0,0,0,0,"0,00",0
Casa e jardim › Aparelhos domésticos › Aspiradores de pó,Ativado,[C] Aspirador,[C] melhor aspirador,BRL,"0,30",0, --,Observação,0,0,0,0,"0,00",0
Veículos e transporte › Entusiastas de automóveis › Entusiastas de veículos de luxo e de alto desempenho,Ativado,[C] Aspirador,[C] melhor aspirador,BRL,"0,30",0, +0%,Observação,0,0,0,0,"0,00",0
Tecnologia › Tecnófilos › Entusiastas de automação residencial,Ativado,[C] Aspirador,[C] melhor aspirador,BRL,"0,30",0, --,Observação,0,0,0,0,"0,00",0
Tecnologia › Tecnófilos › Aficionados por computadores de alta tecnologia,Ativado,[C] Aspirador,[C] melhor aspirador,BRL,"0,30",0, --,Observação,0,0,0,0,"0,00",0
Casa e jardim › Aparelhos domésticos › Climatização e qualidade do ar,Ativado,[C] Aspirador,[C] melhor aspirador,BRL,"0,30",0, --,Observação,0,0,0,0,"0,00",0
Casa e jardim › Suprimentos domésticos › Materiais de limpeza doméstica,Ativado,[C] Aspirador,[C] melhor aspirador,BRL,"0,30",0, +0%,Observação,0,0,0,0,"0,00",0
Visitantes,Ativado,[C] Aspirador,[C] melhor aspirador,BRL,"0,30",0, --,Observação,0,0,0,0,"0,00",0
Casa e jardim › Aparelhos domésticos › Aspiradores de pó,Ativado,[C] Aspirador,[C] aspirador robo,BRL,"0,30",0, --,Observação,0,0,0,0,"0,00",0
Veículos e transporte › Entusiastas de automóveis › Entusiastas de veículos de luxo e de alto desempenho,Ativado,[C] Aspirador,[C] aspirador robo,BRL,"0,30",0, +0%,Observação,0,0,0,0,"0,00",0
Tecnologia › Tecnófilos › Entusiastas de automação residencial,Ativado,[C] Aspirador,[C] aspirador robo,BRL,"0,30",0, --,Observação,0,0,0,0,"0,00",0
Tecnologia › Tecnófilos › Aficionados por computadores de alta tecnologia,Ativado,[C] Aspirador,[C] aspirador robo,BRL,"0,30",0, --,Observação,0,0,0,0,"0,00",0
Casa e jardim › Aparelhos domésticos › Climatização e qualidade do ar,Ativado,[C] Aspirador,[C] aspirador robo,BRL,"0,30",0, --,Observação,0,0,0,0,"0,00",0
Casa e jardim › Suprimentos domésticos › Materiais de limpeza doméstica,Ativado,[C] Aspirador,[C] aspirador robo,BRL,"0,30",0, +0%,Observação,0,0,0,0,"0,00",0
Visitantes,Ativado,[C] Aspirador,[C] aspirador robo,BRL,"0,30",0, --,Observação,0,0,0,0,"0,00",0
Casa e jardim › Aparelhos domésticos › Aspiradores de pó,Ativado,[C] Aspirador,[C] aplicacao,BRL,"0,30",0, --,Observação,0,0,0,0,"0,00",0
Veículos e transporte › Entusiastas de automóveis › Entusiastas de veículos de luxo e de alto desempenho,Ativado,[C] Aspirador,[C] aplicacao,BRL,"0,30",0, +0%,Observação,0,0,0,0,"0,00",0
Tecnologia › Tecnófilos › Entusiastas de automação residencial,Ativado,[C] Aspirador,[C] aplicacao,BRL,"0,30",0, --,Observação,0,0,0,0,"0,00",0
Tecnologia › Tecnófilos › Aficionados por computadores de alta tecnologia,Ativado,[C] Aspirador,[C] aplicacao,BRL,"0,30",0, --,Observação,0,0,0,0,"0,00",0
Casa e jardim › Aparelhos domésticos › Climatização e qualidade do ar,Ativado,[C] Aspirador,[C] aplicacao,BRL,"0,30",0, --,Observação,0,0,0,0,"0,00",0
Casa e jardim › Suprimentos domésticos › Materiais de limpeza doméstica,Ativado,[C] Aspirador,[C] aplicacao,BRL,"0,30",0, +0%,Observação,0,0,0,0,"0,00",0
Visitantes,Ativado,[C] Aspirador,[C] aplicacao,BRL,"0,30",0, --,Observação,0,0,0,0,"0,00",0
Alimentação › Entusiastas de culinária,Ativado,Branding - BR,Branding Brasil,BRL,"0,38","0,38",-10%,Observação,0,51,"0,00%",0,"0,00","0,00"
Viagens › Aficionados por viagens › Viajantes de locais com neve,Ativado,Branding - BR,Branding Brasil,BRL,"0,38","0,38", --,Observação,0,1,"0,00%",0,"0,00","0,00"
Casa e jardim › Itens externos › Churrasqueiras e grelhas,Ativado,Branding - BR,Branding Brasil,BRL,"0,38","0,38", --,Observação,0,27,"0,00%",0,"0,00","0,00"
Casa e jardim › Itens externos › Piscinas e spas,Ativado,Branding - BR,Branding Brasil,BRL,"0,38","0,38", --,Observação,0,43,"0,00%",0,"0,00","0,00"
Casa e jardim › Decoração de interiores › Tapetes e carpetes,Ativado,Branding - BR,Branding Brasil,BRL,"0,38","0,38", --,Observação,0,42,"0,00%",0,"0,00","0,00"
Casa e jardim › Decoração de interiores › Tratamentos para cortinas e janelas,Ativado,Branding - BR,Branding Brasil,BRL,"0,38","0,38", --,Observação,0,28,"0,00%",0,"0,00","0,00"
Compradores › Atentos ao custo-benefício,Ativado,Branding - BR,Branding Brasil,BRL,"0,38","0,38", --,Observação,0,7,"0,00%",0,"0,00","0,00"
Serviços financeiros,Ativado,Branding - BR,Branding Brasil,BRL,"0,38","0,38", --,Observação,0,79,"0,00%",0,"0,00","0,00"
Serviços comerciais › Serviços de publicidade e marketing,Ativado,Branding - BR,Branding Brasil,BRL,"0,38","0,38", --,Observação,0,3,"0,00%",0,"0,00","0,00"
Serviços comerciais › Material de escritório,Ativado,Branding - BR,Branding Brasil,BRL,"0,38","0,38", --,Observação,0,38,"0,00%",0,"0,00","0,00"
Serviços comerciais › Serviços de comerciantes e processamento de pagamento,Ativado,Branding - BR,Branding Brasil,BRL,"0,38","0,38", --,Observação,0,3,"0,00%",0,"0,00","0,00"
Serviços comerciais › Serviços de documentação e impressão para empresas,Ativado,Branding - BR,Branding Brasil,BRL,"0,38","0,38", --,Observação,0,1,"0,00%",0,"0,00","0,00"
Serviços comerciais › Planejamento de eventos corporativos,Ativado,Branding - BR,Branding Brasil,BRL,"0,38","0,38", --,Observação,0,0,0,0,"0,00",0
Serviços comerciais › Serviços de recrutamento e seleção,Ativado,Branding - BR,Branding Brasil,BRL,"0,38","0,38", --,Observação,0,0,0,0,"0,00",0
Serviços comerciais › Serviços de folha de pagamento,Ativado,Branding - BR,Branding Brasil,BRL,"0,38","0,38", --,Observação,0,1,"0,00%",0,"0,00","0,00"
Serviços comerciais › Serviços financeiros para empresas,Ativado,Branding - BR,Branding Brasil,BRL,"0,38","0,38", --,Observação,0,2,"0,00%",0,"0,00","0,00"
Serviços comerciais › Tecnologia de negócios,Ativado,Branding - BR,Branding Brasil,BRL,"0,38","0,38", --,Observação,0,8,"0,00%",0,"0,00","0,00"
Viagens › Viagens por destino › Viagens para a América do Norte,Ativado,Branding - BR,Branding Brasil,BRL,"0,38","0,38", --,Observação,0,4,"0,00%",0,"0,00","0,00"
Viagens › Viagens por destino › Viagens para a Ásia-Pacífico,Ativado,Branding - BR,Branding Brasil,BRL,"0,38","0,38", --,Observação,0,3,"0,00%",0,"0,00","0,00"
Viagens › Viagens por destino › Viagens para a Europa,Ativado,Branding - BR,Branding Brasil,BRL,"0,38","0,38", --,Observação,0,4,"0,00%",0,"0,00","0,00"
Alimentação › Pessoas que comem fora regularmente,Ativado,Branding - BR,Branding Brasil,BRL,"0,38","0,38", --,Observação,0,38,"0,00%",0,"0,00","0,00"
Alimentação › Clientes assíduos de cafeterias,Ativado,Branding - BR,Branding Brasil,BRL,"0,38","0,38", --,Observação,0,3,"0,00%",0,"0,00","0,00"
Serviços comerciais › Segurança física e controle de acesso,Ativado,Branding - BR,Branding Brasil,BRL,"0,38","0,38", --,Observação,0,2,"0,00%",0,"0,00","0,00"
Tecnologia › Tecnófilos › Entusiastas de automação residencial,Ativado,Branding - BR,Branding Brasil,BRL,"0,38","0,38", --,Observação,0,13,"0,00%",0,"0,00","0,00"
Status parental › Pai & mãe › Pais de bebês (0 a 1 ano),Ativado,Branding - BR,Branding Brasil,BRL,"0,38","0,38", --,Observação,0,2,"0,00%",0,"0,00","0,00"
Status parental › Pai & mãe › Pais de crianças pequenas (1 a 3 anos),Ativado,Branding - BR,Branding Brasil,BRL,"0,38","0,38", --,Observação,0,0,0,0,"0,00",0
Status parental › Pai & mãe › Pais de crianças em idade pré-escolar (4 a 5 anos),Ativado,Branding - BR,Branding Brasil,BRL,"0,38","0,38", --,Observação,0,1,"0,00%",0,"0,00","0,00"
Status parental › Pai & mãe › Pais de crianças em idade escolar (6 a 12 anos),Ativado,Branding - BR,Branding Brasil,BRL,"0,38","0,38", --,Observação,0,6,"0,00%",0,"0,00","0,00"
Status parental › Pai & mãe › Pais de adolescentes (13 a 17 anos),Ativado,Branding - BR,Branding Brasil,BRL,"0,38","0,38", --,Observação,0,10,"0,00%",0,"0,00","0,00"
Casa e jardim › Itens externos › Móveis externos e de jardim › Conjuntos de móveis para ambientes externos,Ativado,Branding - BR,Branding Brasil,BRL,"0,38","0,38", --,Observação,0,30,"0,00%",0,"0,00","0,00"
Casamento,Ativado,video,Video Gabriel,BRL,"0,00","1,00", --,Segmentação,0,0,0,0,"0,00",0
Status parental › Pai & mãe › Pais de bebês (0 a 1 ano),Ativado,video,Video Gabriel,BRL,"0,00","1,00", --,Segmentação,0,0,0,0,"0,00",0
Status parental › Pai & mãe › Pais de crianças pequenas (1 a 3 anos),Ativado,video,Video Gabriel,BRL,"0,00","1,00", --,Segmentação,0,0,0,0,"0,00",0
Status parental › Pai & mãe › Pais de crianças em idade pré-escolar (4 a 5 anos),Ativado,video,Video Gabriel,BRL,"0,00","1,00", --,Segmentação,0,0,0,0,"0,00",0
Status parental › Pai & mãe › Pais de crianças em idade escolar (6 a 12 anos),Ativado,video,Video Gabriel,BRL,"0,00","1,00", --,Segmentação,0,0,0,0,"0,00",0
Status parental › Pai & mãe › Pais de adolescentes (13 a 17 anos),Ativado,video,Video Gabriel,BRL,"0,00","1,00", --,Segmentação,0,0,0,0,"0,00",0
Estado civil › Casado,Ativado,video,Video Gabriel,BRL,"0,00","1,00", --,Segmentação,0,0,0,0,"0,00",0
Novo animal de estimação › Adotou um cão recentemente,Ativado,video,Video Gabriel,BRL,"0,00","1,00", --,Segmentação,0,0,0,0,"0,00",0
Novo animal de estimação › Adotou um gato recentemente,Ativado,video,Video Gabriel,BRL,"0,00","1,00", --,Segmentação,0,0,0,0,"0,00",0
Novo animal de estimação › Adotará um cão em breve,Ativado,video,Video Gabriel,BRL,"0,00","1,00", --,Segmentação,0,0,0,0,"0,00",0
Pessoas que comprarão uma casa ou compraram uma recentemente › Pessoas que compraram uma casa recentemente,Ativado,video,Video Gabriel,BRL,"0,00","1,00", --,Segmentação,0,0,0,0,"0,00",0
Novo animal de estimação › Adotará um gato em breve,Ativado,video,Video Gabriel,BRL,"0,00","1,00", --,Segmentação,0,0,0,0,"0,00",0
Condicionamento físico e esportes › Aficionados por saúde e condicionamento físico,Ativado,video,video1,BRL,"0,00","1,00", --,Segmentação,0,0,0,0,"0,00",0
Viagens › Aficionados por viagens › Viajantes de luxo,Ativado,video,video1,BRL,"0,00","1,00", --,Segmentação,0,0,0,0,"0,00",0
Status parental › Pai & mãe › Pais de bebês (0 a 1 ano),Ativado,video,video1,BRL,"0,00","1,00", --,Segmentação,0,0,0,0,"0,00",0
Status parental › Pai & mãe › Pais de crianças pequenas (1 a 3 anos),Ativado,video,video1,BRL,"0,00","1,00", --,Segmentação,0,0,0,0,"0,00",0
Status parental › Pai & mãe › Pais de crianças em idade pré-escolar (4 a 5 anos),Ativado,video,video1,BRL,"0,00","1,00", --,Segmentação,0,0,0,0,"0,00",0
Status parental › Pai & mãe › Pais de crianças em idade escolar (6 a 12 anos),Ativado,video,video1,BRL,"0,00","1,00", --,Segmentação,0,0,0,0,"0,00",0
Status parental › Pai & mãe › Pais de adolescentes (13 a 17 anos),Ativado,video,video1,BRL,"0,00","1,00", --,Segmentação,0,0,0,0,"0,00",0
Novo animal de estimação › Adotou um cão recentemente,Ativado,video,video1,BRL,"0,00","1,00", --,Segmentação,0,0,0,0,"0,00",0
Novo animal de estimação › Adotou um gato recentemente,Ativado,video,video1,BRL,"0,00","1,00", --,Segmentação,0,0,0,0,"0,00",0
Novo animal de estimação › Adotará um cão em breve,Ativado,video,video1,BRL,"0,00","1,00", --,Segmentação,0,0,0,0,"0,00",0
Pessoas que comprarão uma casa ou compraram uma recentemente › Pessoas que compraram uma casa recentemente,Ativado,video,video1,BRL,"0,00","1,00", --,Segmentação,0,0,0,0,"0,00",0
Novo animal de estimação › Adotará um gato em breve,Ativado,video,video1,BRL,"0,00","1,00", --,Segmentação,0,0,0,0,"0,00",0
Limpeza,Ativado,video,video1,BRL,"0,00","1,00", --,Segmentação,0,0,0,0,"0,00",0
Hyla + concorrentes,Ativado,video,video1,BRL,"0,00","1,00", --,Segmentação,0,0,0,0,"0,00",0
Serviços financeiros › Serviços de investimento,Ativado,[C] Branding exata,01 - Hyla - Marca,BRL,"0,66",0, --,Observação,0,0,0,0,"0,00",0
Alimentação › Entusiastas de culinária,Ativado,[C] Branding exata,01 - Hyla - Marca,BRL,"0,66",0,-40%,Observação,0,0,0,0,"0,00",0
Aparelhos eletrônicos para consumidores › Sistemas de home theater,Ativado,[C] Branding exata,01 - Hyla - Marca,BRL,"0,66",0, --,Observação,0,0,0,0,"0,00",0
Viagens › Aficionados por viagens › Viajantes de luxo,Ativado,[C] Branding exata,01 - Hyla - Marca,BRL,"0,66",0, +15%,Observação,0,0,0,0,"0,00",0
Viagens › Aficionados por viagens › Viajantes de locais com neve,Ativado,[C] Branding exata,01 - Hyla - Marca,BRL,"0,66",0, --,Observação,0,0,0,0,"0,00",0
Notícias e política › Leitores ávidos de notícias › Leitores ávidos de notícias sobre negócios,Ativado,[C] Branding exata,01 - Hyla - Marca,BRL,"0,66",0, +0%,Observação,0,0,0,0,"0,00",0
Alimentação › Apreciadores de culinária,Ativado,[C] Branding exata,01 - Hyla - Marca,BRL,"0,66",0, --,Observação,0,0,0,0,"0,00",0
Compradores › Aficionados por compras de luxo,Ativado,[C] Branding exata,01 - Hyla - Marca,BRL,"0,66",0, +15%,Observação,0,0,0,0,"0,00",0
Casa e jardim › Entusiastas de decoração de interiores,Ativado,[C] Branding exata,01 - Hyla - Marca,BRL,"0,66",0, +15%,Observação,0,0,0,0,"0,00",0
Bancos e finanças › Investidores ávidos,Ativado,[C] Branding exata,01 - Hyla - Marca,BRL,"0,66",0, --,Observação,0,0,0,0,"0,00",0
Casa e jardim › Itens externos › Churrasqueiras e grelhas,Ativado,[C] Branding exata,01 - Hyla - Marca,BRL,"0,66",0, --,Observação,0,0,0,0,"0,00",0
Casa e jardim › Itens externos › Piscinas e spas,Ativado,[C] Branding exata,01 - Hyla - Marca,BRL,"0,66",0, --,Observação,0,0,0,0,"0,00",0
Casa e jardim › Decoração de interiores › Tapetes e carpetes,Ativado,[C] Branding exata,01 - Hyla - Marca,BRL,"0,66",0, --,Observação,0,0,0,0,"0,00",0
Casa e jardim › Decoração de interiores › Tratamentos para cortinas e janelas,Ativado,[C] Branding exata,01 - Hyla - Marca,BRL,"0,66",0, --,Observação,0,0,0,0,"0,00",0
Compradores › Atentos ao custo-benefício,Ativado,[C] Branding exata,01 - Hyla - Marca,BRL,"0,66",0, --,Observação,0,0,0,0,"0,00",0
Casa e jardim › Serviços de casa e jardim › Paisagismo,Ativado,[C] Branding exata,01 - Hyla - Marca,BRL,"0,66",0, --,Observação,0,0,0,0,"0,00",0
Casa e jardim › Serviços de casa e jardim › Serviços de design de interiores e decoração,Ativado,[C] Branding exata,01 - Hyla - Marca,BRL,"0,66",0, --,Observação,0,0,0,0,"0,00",0
Casa e jardim › Serviços de casa e jardim › Serviços de arquitetura,Ativado,[C] Branding exata,01 - Hyla - Marca,BRL,"0,66",0, --,Observação,0,0,0,0,"0,00",0
Estilos de vida e hobbies › Profissionais de negócios,Ativado,[C] Branding exata,01 - Hyla - Marca,BRL,"0,66",0, --,Observação,0,0,0,0,"0,00",0
Viagens › Viagens por destino › Viagens para a América do Norte,Ativado,[C] Branding exata,01 - Hyla - Marca,BRL,"0,66",0, --,Observação,0,0,0,0,"0,00",0
Viagens › Viagens por destino › Viagens para a Ásia-Pacífico,Ativado,[C] Branding exata,01 - Hyla - Marca,BRL,"0,66",0, --,Observação,0,0,0,0,"0,00",0
Viagens › Viagens por destino › Viagens para a Europa,Ativado,[C] Branding exata,01 - Hyla - Marca,BRL,"0,66",0, --,Observação,0,0,0,0,"0,00",0
Viagens › Viajantes a negócios,Ativado,[C] Branding exata,01 - Hyla - Marca,BRL,"0,66",0, +15%,Observação,0,0,0,0,"0,00",0
Alimentação › Pessoas que comem fora regularmente,Ativado,[C] Branding exata,01 - Hyla - Marca,BRL,"0,66",0, --,Observação,0,0,0,0,"0,00",0
Alimentação › Clientes assíduos de cafeterias,Ativado,[C] Branding exata,01 - Hyla - Marca,BRL,"0,66",0, --,Observação,0,0,0,0,"0,00",0
Tecnologia › Tecnófilos › Audiófilos,Ativado,[C] Branding exata,01 - Hyla - Marca,BRL,"0,66",0, --,Observação,0,0,0,0,"0,00",0
Tecnologia › Tecnófilos › Entusiastas de automação residencial,Ativado,[C] Branding exata,01 - Hyla - Marca,BRL,"0,66",0,-10%,Observação,0,0,0,0,"0,00",0
Status parental › Pai & mãe › Pais de bebês (0 a 1 ano),Ativado,[C] Branding exata,01 - Hyla - Marca,BRL,"0,66",0, --,Observação,0,0,0,0,"0,00",0
Status parental › Pai & mãe › Pais de crianças pequenas (1 a 3 anos),Ativado,[C] Branding exata,01 - Hyla - Marca,BRL,"0,66",0, --,Observação,0,0,0,0,"0,00",0
Status parental › Pai & mãe › Pais de crianças em idade pré-escolar (4 a 5 anos),Ativado,[C] Branding exata,01 - Hyla - Marca,BRL,"0,66",0, --,Observação,0,0,0,0,"0,00",0
Status parental › Pai & mãe › Pais de crianças em idade escolar (6 a 12 anos),Ativado,[C] Branding exata,01 - Hyla - Marca,BRL,"0,66",0, --,Observação,0,0,0,0,"0,00",0
Status parental › Pai & mãe › Pais de adolescentes (13 a 17 anos),Ativado,[C] Branding exata,01 - Hyla - Marca,BRL,"0,66",0, --,Observação,0,0,0,0,"0,00",0
Estado civil › Casado,Ativado,[C] Branding exata,01 - Hyla - Marca,BRL,"0,66",0, --,Observação,0,0,0,0,"0,00",0
Casa e jardim › Itens externos › Móveis externos e de jardim › Conjuntos de móveis para ambientes externos,Ativado,[C] Branding exata,01 - Hyla - Marca,BRL,"0,66",0, --,Observação,0,0,0,0,"0,00",0
Casa e jardim › Aparelhos domésticos › Aspiradores de pó,Ativado,[S] Aspirador,[C] alergia,BRL,"0,33",0, +40%,Observação,0,0,0,0,"0,00",0
Veículos e transporte › Entusiastas de automóveis › Entusiastas de veículos de luxo e de alto desempenho,Ativado,[S] Aspirador,[C] alergia,BRL,"0,33",0, +40%,Observação,0,0,0,0,"0,00",0
Tecnologia › Tecnófilos › Entusiastas de automação residencial,Ativado,[S] Aspirador,[C] alergia,BRL,"0,33",0, +40%,Observação,0,0,0,0,"0,00",0
Tecnologia › Tecnófilos › Aficionados por computadores de alta tecnologia,Ativado,[S] Aspirador,[C] alergia,BRL,"0,33",0, +40%,Observação,0,0,0,0,"0,00",0
Casa e jardim › Aparelhos domésticos › Climatização e qualidade do ar,Ativado,[S] Aspirador,[C] alergia,BRL,"0,33",0, +40%,Observação,0,0,0,0,"0,00",0
Casa e jardim › Suprimentos domésticos › Materiais de limpeza doméstica,Ativado,[S] Aspirador,[C] alergia,BRL,"0,33",0, +40%,Observação,0,0,0,0,"0,00",0
Casa e jardim › Aparelhos domésticos › Aspiradores de pó,Ativado,[S] Aspirador,[C] alergia exata,BRL,"0,33",0, +40%,Observação,0,0,0,0,"0,00",0
Veículos e transporte › Entusiastas de automóveis › Entusiastas de veículos de luxo e de alto desempenho,Ativado,[S] Aspirador,[C] alergia exata,BRL,"0,33",0, +40%,Observação,0,0,0,0,"0,00",0
Tecnologia › Tecnófilos › Entusiastas de automação residencial,Ativado,[S] Aspirador,[C] alergia exata,BRL,"0,33",0, +40%,Observação,0,0,0,0,"0,00",0
Tecnologia › Tecnófilos › Aficionados por computadores de alta tecnologia,Ativado,[S] Aspirador,[C] alergia exata,BRL,"0,33",0, +40%,Observação,0,0,0,0,"0,00",0
Casa e jardim › Aparelhos domésticos › Climatização e qualidade do ar,Ativado,[S] Aspirador,[C] alergia exata,BRL,"0,33",0, +40%,Observação,0,0,0,0,"0,00",0
Casa e jardim › Suprimentos domésticos › Materiais de limpeza doméstica,Ativado,[S] Aspirador,[C] alergia exata,BRL,"0,33",0, +40%,Observação,0,0,0,0,"0,00",0
Casa e jardim › Aparelhos domésticos › Aspiradores de pó,Ativado,[S] Aspirador,Agua,BRL,"0,33",0, +40%,Observação,0,0,0,0,"0,00",0
Veículos e transporte › Entusiastas de automóveis › Entusiastas de veículos de luxo e de alto desempenho,Ativado,[S] Aspirador,Agua,BRL,"0,33",0, +40%,Observação,0,0,0,0,"0,00",0
Tecnologia › Tecnófilos › Entusiastas de automação residencial,Ativado,[S] Aspirador,Agua,BRL,"0,33",0, +40%,Observação,0,0,0,0,"0,00",0
Tecnologia › Tecnófilos › Aficionados por computadores de alta tecnologia,Ativado,[S] Aspirador,Agua,BRL,"0,33",0, +40%,Observação,0,0,0,0,"0,00",0
Casa e jardim › Aparelhos domésticos › Climatização e qualidade do ar,Ativado,[S] Aspirador,Agua,BRL,"0,33",0, +40%,Observação,0,0,0,0,"0,00",0
Casa e jardim › Suprimentos domésticos › Materiais de limpeza doméstica,Ativado,[S] Aspirador,Agua,BRL,"0,33",0, +40%,Observação,0,0,0,0,"0,00",0
Serviços financeiros › Serviços de investimento,Ativado,[S] Concorrentes,concorrentes,BRL,"0,38",0, --,Observação,0,0,0,0,"0,00",0
Alimentação › Entusiastas de culinária,Ativado,[S] Concorrentes,concorrentes,BRL,"0,38",0, +5%,Observação,0,0,0,0,"0,00",0
Aparelhos eletrônicos para consumidores › Sistemas de home theater,Ativado,[S] Concorrentes,concorrentes,BRL,"0,38",0, --,Observação,0,0,0,0,"0,00",0
Viagens › Aficionados por viagens › Viajantes de luxo,Ativado,[S] Concorrentes,concorrentes,BRL,"0,38",0, --,Observação,0,0,0,0,"0,00",0
Viagens › Aficionados por viagens › Viajantes de locais com neve,Ativado,[S] Concorrentes,concorrentes,BRL,"0,38",0, --,Observação,0,0,0,0,"0,00",0
Notícias e política › Leitores ávidos de notícias › Leitores ávidos de notícias sobre negócios,Ativado,[S] Concorrentes,concorrentes,BRL,"0,38",0, +0%,Observação,0,0,0,0,"0,00",0
Alimentação › Apreciadores de culinária,Ativado,[S] Concorrentes,concorrentes,BRL,"0,38",0, --,Observação,0,0,0,0,"0,00",0
Compradores › Aficionados por compras de luxo,Ativado,[S] Concorrentes,concorrentes,BRL,"0,38",0, --,Observação,0,0,0,0,"0,00",0
Casa e jardim › Entusiastas de decoração de interiores,Ativado,[S] Concorrentes,concorrentes,BRL,"0,38",0, --,Observação,0,0,0,0,"0,00",0
Bancos e finanças › Investidores ávidos,Ativado,[S] Concorrentes,concorrentes,BRL,"0,38",0, --,Observação,0,0,0,0,"0,00",0
Casa e jardim › Itens externos › Churrasqueiras e grelhas,Ativado,[S] Concorrentes,concorrentes,BRL,"0,38",0, --,Observação,0,0,0,0,"0,00",0
Casa e jardim › Itens externos › Piscinas e spas,Ativado,[S] Concorrentes,concorrentes,BRL,"0,38",0, --,Observação,0,0,0,0,"0,00",0
Casa e jardim › Decoração de interiores › Tapetes e carpetes,Ativado,[S] Concorrentes,concorrentes,BRL,"0,38",0, --,Observação,0,0,0,0,"0,00",0
Casa e jardim › Decoração de interiores › Tratamentos para cortinas e janelas,Ativado,[S] Concorrentes,concorrentes,BRL,"0,38",0, --,Observação,0,0,0,0,"0,00",0
Compradores › Atentos ao custo-benefício,Ativado,[S] Concorrentes,concorrentes,BRL,"0,38",0, --,Observação,0,0,0,0,"0,00",0
Casa e jardim › Serviços de casa e jardim › Paisagismo,Ativado,[S] Concorrentes,concorrentes,BRL,"0,38",0, --,Observação,0,0,0,0,"0,00",0
Casa e jardim › Serviços de casa e jardim › Serviços de design de interiores e decoração,Ativado,[S] Concorrentes,concorrentes,BRL,"0,38",0, --,Observação,0,0,0,0,"0,00",0
Casa e jardim › Serviços de casa e jardim › Serviços de arquitetura,Ativado,[S] Concorrentes,concorrentes,BRL,"0,38",0, --,Observação,0,0,0,0,"0,00",0
Estilos de vida e hobbies › Profissionais de negócios,Ativado,[S] Concorrentes,concorrentes,BRL,"0,38",0, --,Observação,0,0,0,0,"0,00",0
Viagens › Viagens por destino › Viagens para a América do Norte,Ativado,[S] Concorrentes,concorrentes,BRL,"0,38",0, --,Observação,0,0,0,0,"0,00",0
Viagens › Viagens por destino › Viagens para a Ásia-Pacífico,Ativado,[S] Concorrentes,concorrentes,BRL,"0,38",0, --,Observação,0,0,0,0,"0,00",0
Viagens › Viagens por destino › Viagens para a Europa,Ativado,[S] Concorrentes,concorrentes,BRL,"0,38",0, --,Observação,0,0,0,0,"0,00",0
Viagens › Viajantes a negócios,Ativado,[S] Concorrentes,concorrentes,BRL,"0,38",0, --,Observação,0,0,0,0,"0,00",0
Alimentação › Pessoas que comem fora regularmente,Ativado,[S] Concorrentes,concorrentes,BRL,"0,38",0, --,Observação,0,0,0,0,"0,00",0
