# ----------------------------------------
# Páginas e telas: Caminho da página e classe da tela
# Conta: HYLA do Brasil
# Propriedade: Hyla do Brasil
# ----------------------------------------
# 
# Todos os usuários
# Data de início: 20260610
# Data de término: 20260707
Caminho da página e classe da tela,Visualizações,Usuários ativos,Visualizações por usuário ativo,Tempo médio de engajamento por usuário ativo,Contagem de eventos,Eventos principais,Receita total
/loja/acessorios/bolsas-e-sacos/bolsa-vacuo-p/,8,8,1,9.875,0,24,0
/loja/acessorios/controle-remoto/,14,9,1.5555555555555556,6,0,29,0
/loja/acessorios/desentupidores/,23,20,1.15,7.55,0,48,0
/loja/acessorios/escovas/,87,55,1.5818181818181818,24.072727272727274,0,213,0
/loja/acessorios/escovas/cerdas-estofados/,11,10,1.1,10,0,26,0
/loja/acessorios/escovas/escova-animais-cerdas-est/,3,3,1,7,0,8,0
/loja/acessorios/escovas/escova-animais-massagem-est/,3,3,1,5,0,4,0
/loja/acessorios/escovas/escova-animais-massagem-gst-nst/,5,3,1.6666666666666667,9.333333333333334,0,12,0
/loja/acessorios/escovas/escova-animais-pente-est/,10,10,1,8.6,0,36,0
/loja/acessorios/escovas/escova-animais-pente-gst-nst/,7,7,1,5.857142857142857,0,21,0
/loja/acessorios/escovas/escova-cerdas-naturais-est-nova/,7,7,1,6.428571428571429,0,18,0
/loja/acessorios/escovas/escova-cerdas-naturais-giratoria-gst-nst/,7,4,1.75,17.75,0,15,0
/loja/acessorios/escovas/escova-cerdas-sinteticas-est-nova/,3,2,1.5,9,0,7,0
/loja/acessorios/escovas/hyla-furry-escova-macia-para-pets/,82,74,1.1081081081081081,14.202702702702704,0,285,0
/loja/acessorios/escovas/hyla-furry-escova-macia-para-pets//,1,1,1,0,0,3,0
/loja/acessorios/escovas/hyla-furry-escova-rigida-para-pets/,14,14,1,12.857142857142858,0,53,0
/loja/acessorios/escovas/kit-furry/,15,11,1.3636363636363635,20.90909090909091,0,38,0
/loja/acessorios/escovas/mini-escova-eletrica-est-110v/,4,4,1,1.75,0,9,0
/loja/acessorios/escovas/mini-escova-eletrica-est-220v/,6,6,1,11.166666666666666,0,19,0
/loja/acessorios/escovas/mini-escova-eletrica-gst-110v/,11,10,1.1,14.5,0,32,0
/loja/acessorios/escovas/mini-escova-eletrica-gst-220v/,11,11,1,9.363636363636363,0,30,0
/loja/acessorios/escovas/nova-escova-pet-furry-cerdas/,8,8,1,13.375,0,29,0
/loja/acessorios/extensores-e-adaptadores/,80,50,1.6,19.42,0,186,0
/loja/acessorios/extensores-e-adaptadores/adaptador-colchao/,9,9,1,9.777777777777779,0,25,0
/loja/acessorios/extensores-e-adaptadores/extensor-bico-bexiga-est-gst-nst/,4,4,1,5.25,0,9,0
/loja/acessorios/fragrancias/,99,66,1.5,33.74242424242424,0,223,0
/loja/acessorios/fragrancias/fragrancia-de-bambu-hyla-100ml/,24,18,1.3333333333333333,33.77777777777778,0,54,0
/loja/acessorios/glider/,43,36,1.1944444444444444,16.52777777777778,0,101,0
/loja/acessorios/kits/,50,37,1.3513513513513513,17.486486486486488,0,113,0
/loja/acessorios/kits/kit-limpa-vidros/,38,30,1.2666666666666666,21.566666666666666,0,108,0
/loja/acessorios/kits/kit-limpa-vidros//,1,1,1,0,0,3,0
/loja/acessorios/panos/,38,30,1.2666666666666666,7.433333333333334,0,88,0
/loja/acessorios/panos/kit-panos-vassoura-multiuso/,14,13,1.0769230769230769,12.153846153846153,0,37,0
/loja/acessorios/shampoos/,45,34,1.3235294117647058,23.176470588235293,0,98,0
/loja/acessorios/shampoos/shampoo-limpa-vidros/,8,8,1,7.125,0,30,0
/loja/acessorios/spotless/,148,132,1.121212121212121,14.742424242424242,0,450,0
/loja/acessorios/suportes/,23,16,1.4375,9,0,51,0
/loja/acessorios/suportes/suporte-parede-mangueira-acessorios-hyla/,7,7,1,9.428571428571429,0,23,0
/loja/acessorios/vassouras-e-rodos/,130,83,1.5662650602409638,18.072289156626507,0,286,0
/loja/acessorios/vassouras-e-rodos/nimbus//,1,1,1,0,0,3,0
/loja/acessorios/vassouras-e-rodos/vassoura-eletrica-ventus-est-110v/,19,18,1.0555555555555556,10.944444444444445,0,39,0
/loja/acessorios/vassouras-e-rodos/vassoura-eletrica-ventus-est-220v/,14,14,1,27.428571428571427,0,37,0
/loja/acessorios/vassouras-e-rodos/vassoura-piso-frio-est/,27,21,1.2857142857142858,8.523809523809524,0,72,0
/loja/ec/andreachaves/,2,2,1,3.5,0,7,0
/loja/ec/cristianecarvalho/,2,2,1,0,0,6,0
