Performance da campanha
1 de janeiro de 2026 - 6 de julho de 2026
Dia,Campanha,Estado da campanha,Tipo de campanha,Cliques,Impr.,CTR,Código da moeda,CPC méd.,Custo,% de impr. (1ª posição),% de impr. (parte sup.),Conversões,Conv. de visualização,Custo / conv.,Taxa de conv.
2026-01-28,PMAX,Ativada,Performance Max,635,6.381,"9,95%",BRL,"0,14","87,80",0,0,"170,00",0,"0,52","8,53%"
2026-01-24,PMAX,Ativada,Performance Max,611,5.033,"12,14%",BRL,"0,16","98,46",0,0,"124,00",0,"0,79","5,74%"
2026-01-29,PMAX,Ativada,Performance Max,593,6.357,"9,33%",BRL,"0,17","98,60",0,0,"140,58",0,"0,70","8,20%"
2026-01-27,PMAX,Ativada,Performance Max,590,5.801,"10,17%",BRL,"0,16","96,61",0,0,"92,00",0,"1,05","5,70%"
2026-01-20,PMAX,Ativada,Performance Max,577,12.457,"4,63%",BRL,"0,17","98,76",0,0,"79,00",0,"1,25","1,54%"
2026-02-20,PMAX,Ativada,Performance Max,576,10.633,"5,42%",BRL,"0,12","68,18",0,0,"88,46",0,"0,77","6,38%"
2026-03-01,PMAX,Ativada,Performance Max,569,3.933,"14,47%",BRL,"0,17","97,72",0,0,"127,01",0,"0,77","7,21%"
2026-01-30,PMAX,Ativada,Performance Max,558,5.833,"9,57%",BRL,"0,18","99,43",0,0,"123,18",0,"0,81","9,04%"
2026-03-04,PMAX,Ativada,Performance Max,552,4.555,"12,12%",BRL,"0,18","97,18",0,0,"122,00",0,"0,80","8,03%"
2026-06-11,PMAX,Ativada,Performance Max,552,9.573,"5,77%",BRL,"0,39","212,69",0,0,"18,00",0,"11,82","2,14%"
2026-05-16,PMAX,Ativada,Performance Max,551,8.407,"6,55%",BRL,"0,31","170,36",0,0,"43,00",0,"3,96","2,71%"
2026-01-14,PMAX,Ativada,Performance Max,550,7.759,"7,09%",BRL,"0,18","99,46",0,0,"118,00",0,"0,84","14,62%"
2026-04-09,PMAX,Ativada,Performance Max,537,12.718,"4,22%",BRL,"0,36","195,85",0,0,"23,00",0,"8,52","1,88%"
2026-01-25,PMAX,Ativada,Performance Max,534,6.360,"8,40%",BRL,"0,18","95,71",0,0,"136,32",0,"0,70","7,00%"
2026-01-23,PMAX,Ativada,Performance Max,524,5.330,"9,83%",BRL,"0,19","97,27",0,0,"114,51",0,"0,85","6,65%"
2026-05-13,PMAX,Ativada,Performance Max,517,8.232,"6,28%",BRL,"0,42","218,01",0,0,"23,00",0,"9,48","1,01%"
2026-01-26,PMAX,Ativada,Performance Max,515,4.896,"10,52%",BRL,"0,19","98,19",0,0,"119,00",0,"0,83","6,30%"
2026-02-16,PMAX,Ativada,Performance Max,511,5.357,"9,54%",BRL,"0,14","71,66",0,0,"113,00",0,"0,63","7,13%"
2026-03-06,PMAX,Ativada,Performance Max,510,5.450,"9,36%",BRL,"0,19","98,54",0,0,"64,00",0,"1,54","2,67%"
2026-04-25,PMAX,Ativada,Performance Max,501,8.798,"5,69%",BRL,"0,56","279,90",0,0,"20,00",0,"14,00","0,94%"
2026-02-21,PMAX,Ativada,Performance Max,497,9.275,"5,36%",BRL,"0,10","50,78",0,0,"85,50",0,"0,59","6,95%"
2026-03-08,PMAX,Ativada,Performance Max,484,7.690,"6,29%",BRL,"0,30","146,31",0,0,"63,37",0,"2,31","7,96%"
